Date,Open,High,Low,Close,Adj Close,Volume
15-10-2004,3.61,3.624,3.535,3.589,3.589,265150137
18-10-2004,3.567,3.716,3.517,3.715,3.715,282061287
19-10-2004,3.748,3.796,3.67,3.685,3.685,363918964
20-10-2004,3.687,3.711,3.477,3.499,3.499,456613107
21-10-2004,3.597,3.739,3.527,3.721,3.721,585767401
22-10-2004,4.248,4.487,4.087,4.295,4.295,1481207196
25-10-2004,4.394,4.843,4.298,4.668,4.668,1315480331
26-10-2004,4.641,4.798,4.483,4.528,4.528,895628499
27-10-2004,4.551,4.72,4.527,4.632,4.632,536262538
28-10-2004,4.65,4.842,4.623,4.814,4.814,596097978
29-10-2004,4.954,4.98,4.747,4.748,4.748,849672890
01-11-2004,4.821,4.923,4.764,4.882,4.882,490828877
02-11-2004,4.951,4.963,4.815,4.854,4.854,455553149
03-11-2004,4.936,5.021,4.751,4.774,4.774,557630330
04-11-2004,4.693,4.742,4.567,4.6,4.6,578544429
05-11-2004,4.533,4.54,4.198,4.218,4.218,796297573
08-11-2004,4.257,4.37,4.219,4.298,4.298,449349985
09-11-2004,4.336,4.364,4.116,4.202,4.202,444226854
10-11-2004,4.251,4.297,4.143,4.181,4.181,427355853
11-11-2004,4.212,4.577,4.174,4.558,4.558,601666773
12-11-2004,4.613,4.727,4.418,4.533,4.533,672354740
15-11-2004,4.494,4.69,4.452,4.604,4.604,477844390
16-11-2004,4.421,4.47,4.255,4.297,4.297,839832142
17-11-2004,4.21,4.421,4.209,4.296,4.296,728034662
18-11-2004,4.241,4.344,4.128,4.173,4.173,667677273
19-11-2004,4.212,4.234,4.147,4.219,4.219,352086780
22-11-2004,4.096,4.222,4.018,4.112,4.112,496582362
23-11-2004,4.184,4.255,4.147,4.172,4.172,498393124
24-11-2004,4.354,4.414,4.297,4.353,4.353,613531078
26-11-2004,4.379,4.484,4.367,4.468,4.468,260175560
29-11-2004,4.492,4.557,4.421,4.509,4.509,428263241
30-11-2004,4.501,4.558,4.489,4.533,4.533,309154460
01-12-2004,4.532,4.545,4.472,4.482,4.482,315743063
02-12-2004,4.481,4.521,4.447,4.468,4.468,251374696
03-12-2004,4.482,4.51,4.423,4.493,4.493,235647968
06-12-2004,4.462,4.501,4.384,4.391,4.391,251097661
07-12-2004,4.384,4.389,4.248,4.27,4.27,275866153
08-12-2004,4.243,4.326,4.202,4.234,4.234,302802741
09-12-2004,4.24,4.321,4.196,4.32,4.32,307307563
10-12-2004,4.32,4.356,4.266,4.275,4.275,173335277
13-12-2004,4.288,4.313,4.22,4.245,4.245,193466452
14-12-2004,4.259,4.454,4.224,4.451,4.451,445198482
15-12-2004,4.433,4.5,4.4,4.478,4.478,460559845
16-12-2004,4.407,4.495,4.382,4.395,4.395,344197318
17-12-2004,4.402,4.496,4.397,4.485,4.485,296555412
20-12-2004,4.533,4.694,4.53,4.608,4.608,394854485
21-12-2004,4.64,4.679,4.568,4.577,4.577,221479058
22-12-2004,4.58,4.654,4.558,4.64,4.64,156865776
23-12-2004,4.669,4.697,4.633,4.68,4.68,145125936
27-12-2004,4.711,4.814,4.71,4.78,4.78,245079187
28-12-2004,4.785,4.821,4.757,4.801,4.801,166453579
29-12-2004,4.777,4.82,4.777,4.804,4.804,107525527
30-12-2004,4.806,4.937,4.778,4.922,4.922,237057231
31-12-2004,4.962,4.978,4.796,4.802,4.802,307889737
03-01-2005,4.917,5.072,4.868,5.049,5.049,636143518
04-01-2005,5.016,5.054,4.819,4.844,4.844,552298420
05-01-2005,4.818,4.904,4.788,4.82,4.82,330698912
06-01-2005,4.859,4.879,4.675,4.696,4.696,417041336
07-01-2005,4.748,4.838,4.702,4.828,4.828,387964757
10-01-2005,4.844,4.934,4.778,4.858,4.858,302714411
11-01-2005,4.872,4.924,4.811,4.82,4.82,279391317
12-01-2005,4.84,4.88,4.745,4.866,4.866,328338096
13-01-2005,4.866,4.916,4.833,4.865,4.865,275002929
14-01-2005,4.882,4.982,4.835,4.981,4.981,387057368
18-01-2005,5.005,5.106,4.948,5.078,5.078,528878966
19-01-2005,5.097,5.113,4.899,4.914,4.914,451995865
20-01-2005,4.795,4.888,4.782,4.83,4.83,361413608
21-01-2005,4.845,4.866,4.685,4.689,4.689,371724110
24-01-2005,4.7,4.716,4.491,4.501,4.501,563010421
25-01-2005,4.532,4.539,4.391,4.411,4.411,427966132
26-01-2005,4.465,4.718,4.462,4.713,4.713,494161321
27-01-2005,4.701,4.704,4.613,4.684,4.684,266089645
28-01-2005,4.733,4.849,4.641,4.741,4.741,490158373
31-01-2005,4.824,4.891,4.775,4.872,4.872,385306832
01-02-2005,4.841,4.898,4.748,4.78,4.78,756384528
02-02-2005,5.369,5.4,5.072,5.13,5.13,1316889593
03-02-2005,5.131,5.314,5.126,5.252,5.252,521471303
04-02-2005,5.142,5.174,5.046,5.09,5.09,594993855
07-02-2005,5.112,5.141,4.869,4.882,4.882,520359150
08-02-2005,4.906,4.982,4.845,4.947,4.947,460921194
09-02-2005,5,5.021,4.719,4.772,4.772,689434520
10-02-2005,4.781,4.787,4.614,4.682,4.682,762154073
11-02-2005,4.649,4.79,4.634,4.668,4.668,526606480
14-02-2005,4.554,4.809,4.508,4.807,4.807,1548269624
15-02-2005,4.822,4.977,4.809,4.863,4.863,1035177611
16-02-2005,4.849,4.965,4.839,4.942,4.942,663770685
17-02-2005,4.927,4.975,4.902,4.929,4.929,418137429
18-02-2005,4.944,4.952,4.898,4.93,4.93,340708289
22-02-2005,4.894,4.954,4.742,4.766,4.766,541369609
23-02-2005,4.814,4.844,4.699,4.831,4.831,625776806
24-02-2005,4.567,4.729,4.539,4.705,4.705,1036442333
25-02-2005,4.711,4.73,4.62,4.629,4.629,400435325
28-02-2005,4.633,4.729,4.629,4.682,4.682,313908211
01-03-2005,4.715,4.726,4.533,4.634,4.634,373844027
02-03-2005,4.631,4.674,4.592,4.612,4.612,292512314
03-03-2005,4.636,4.676,4.591,4.658,4.658,305484756
04-03-2005,4.65,4.664,4.609,4.63,4.63,271979640
07-03-2005,4.677,4.722,4.658,4.703,4.703,347995502
08-03-2005,4.71,4.729,4.607,4.613,4.613,323050350
